Price,Close,High,Low,Open,Volume
Ticker,VCSH,VCSH,VCSH,VCSH,VCSH
Date,,,,,
2010-12-29,54.56084060668945,54.574965751876604,54.33488676817508,54.33488676817508,84500
2010-12-30,54.57490921020508,54.57490921020508,54.44780997102259,54.54666433625798,143900
2010-12-31,54.65964889526367,54.68788838466777,54.511361946515635,54.58197683150399,91300
2011-01-03,54.65964889526367,54.66670607403501,54.518424512446344,54.6243414527695,111600
2011-01-04,54.72319030761719,54.737310050895076,54.65258081691009,54.66670056018798,287800
2011-01-05,54.617305755615234,54.617305755615234,54.483149259890205,54.61024318621012,144600
2011-01-06,54.51845169067383,54.65261357444207,54.47608704828894,54.65261357444207,137800
2011-01-07,54.72319030761719,54.77968005504639,54.61727337797713,54.65964338212844,223100
2011-01-10,54.716156005859375,54.86443762908633,54.62436415924124,54.86443762908633,245400
2011-01-11,54.75849533081055,54.82204225349583,54.70906815078023,54.82204225349583,91000
2011-01-12,54.793792724609375,54.814975030371045,54.68787580864287,54.814975030371045,96700
2011-01-13,54.86442184448242,54.86442184448242,54.74438514409467,54.82911978462958,126900
2011-01-14,54.92087936401367,54.92087936401367,54.7655353078064,54.7655353078064,169600
2011-01-18,54.82208251953125,54.89975462907916,54.73029065695761,54.89975462907916,125400
2011-01-19,54.88562774658203,54.885627746582024,54.793830508770014,54.885627746582024,102200
2011-01-20,54.78675079345703,54.82912080809542,54.73026641920612,54.82912080809542,256200
2011-01-21,54.83617401123047,54.83617401123047,54.72319450770072,54.772621693705176,245100
2011-01-24,54.87852096557617,54.87852096557617,54.7443591951123,54.8432135352991,216700
2011-01-25,54.913841247558594,54.93502894505654,54.80792969586535,54.829112006204,209700
2011-01-26,54.85734939575195,54.87853170319976,54.80085965111877,54.87853170319976,117800
2011-01-27,54.94206619262695,54.94206619262695,54.79378468688858,54.91382132670193,185400
2011-01-28,54.970375061035156,55.012745102833165,54.87152060877914,54.91388526341355,116700
2011-01-31,54.973175048828125,55.05099106838259,54.973175048828125,55.02269384334971,55100
2011-02-01,54.95195770263672,54.973179273756394,54.881217333189724,54.95195770263672,202200
2011-02-02,54.8387565612793,54.95194544486155,54.831686303912676,54.95194544486155,104900
2011-02-03,54.789188385009766,54.824561228528594,54.7538209386291,54.80333968127256,159600
2011-02-04,54.690162658691406,54.767978613453565,54.66186545721977,54.767978613453565,266700
2011-02-07,54.732643127441406,54.75386469165529,54.59115703744474,54.69019460187117,187400
2011-02-08,54.626548767089844,54.73266202193353,54.562878655325896,54.69728913793752,128100
2011-02-09,54.66896438598633,54.732634465694304,54.57700248989884,54.654818477796574,369300
2011-02-10,54.68312072753906,54.70434229034898,54.61237498864984,54.69019098371429,310300
2011-02-11,54.66896438598633,54.69018594684178,54.57700248989884,54.57700248989884,212100
2011-02-14,54.576995849609375,54.683109038117635,54.576995849609375,54.584071501414186,122200
2011-02-15,54.68312072753906,54.69726663703163,54.598229079157264,54.69019098371429,77000
2011-02-16,54.690162658691406,54.69723830834414,54.598200801763085,54.64771955505361,71000
2011-02-17,54.803375244140625,54.80337524414063,54.69726204186358,54.69726204186358,110900
2011-02-18,54.82459259033203,54.82459259033203,54.72555504839177,54.817516938153084,112200
2011-02-22,54.90245056152344,54.94489371277457,54.81048860143086,54.94489371277457,103300
2011-02-23,54.95195770263672,54.98733058593233,54.881217333189724,54.888287592133466,136500
2011-02-24,54.92366027832031,55.001476303576005,54.902438707276794,54.980254732532494,97600
2011-02-25,55.02268600463867,55.022686004638665,54.91657277516857,54.987318526244,1564500
2011-02-28,55.0687141418457,55.07580209432766,54.97659238567483,55.04745569092348,228800
2011-03-01,55.07581329345703,55.082901247380256,54.95534510938594,55.04746688428888,247300
2011-03-02,55.05455017089844,55.10415503110621,54.990769404046,54.990769404046,105000
2011-03-03,54.89866256713867,54.97661385531105,54.89866256713867,54.97661385531105,118200
2011-03-04,55.09001922607422,55.09710718455609,54.9412045371244,54.99789739192287,316600
2011-03-07,55.061683654785156,55.09711804765259,54.96956180247081,55.09711804765259,132300
2011-03-08,55.040401458740234,55.06165992268639,54.983708617199206,55.06165992268639,139600
2011-03-09,55.125431060791016,55.14668952101181,55.04039181338187,55.09708464498797,124500
2011-03-10,55.16795349121094,55.26008070340368,55.097090147888736,55.1821294037913,212700
2011-03-11,55.260013580322266,55.28127201684413,55.17497442771482,55.28127201684413,108800
2011-03-14,55.30259704589844,55.35220192635442,55.25299216544245,55.25299216544245,132500
